30 4th Avenue Rent,147,Rent,-85.7595,193399.9
59 3rd Street Rent,147,Rent,-75.99196,193323.9
1 5th Street Rent,147,Rent,-52.13275,193271.8
Katalytica Revenue,146,Revenue,12000,205271.8
7 3rd Avenue Rent,147,Rent,-42.2027,205229.5
Karvin Kueen Revenue,146,Revenue,3570,208799.5
Marketing campaigns for Elite Jewels,147,Marketing,-500,208299.5
Marketing campaigns for Katalytica,147,Marketing,-500,207799.5
Marketing campaigns for Karvin Kueen,147,Marketing,-500,207299.5
Subway Ride,147,SubwayRide,-3,207296.5
Subway Ride,147,SubwayRide,-3,207293.5
30 4th Avenue delivery from AJ Pederson & Son,147,DeliveryContract,-9698,197595.5
30 4th Avenue delivery from IKA BOHAG,147,DeliveryContract,-2310,195285.5
Undefined for 30 4th Avenue,147,DeliveryContractRefund,2310,197595.5
Subway Ride,147,SubwayRide,-3,197592.5
Subway Ride,147,SubwayRide,-3,197589.5
Purchase from IKA BOHAG,147,ItemPurchase,-3540,194049.5
Lily Barton (Katalytica Daily Wage),147,Wage,-258,193791.5
Zoe Gomez (Elite Jewels Daily Wage),147,Wage,-160,193631.5
Tommy Brooks (Katalytica Daily Wage),147,Wage,-44,193587.5
Katherine Moss (Elite Jewels Daily Wage),147,Wage,-100,193487.5
Lara Norris (Warehouse #1 Daily Wage),147,Wage,-153.9,193333.6
Lindsey Richardson (Elite Jewels Daily Wage),147,Wage,-100,193233.6
Olivia Cox (Katalytica Daily Wage),147,Wage,-432,192801.6
Tristan Barker (Katalytica Daily Wage),147,Wage,-536,192265.6
Maya Turner (Karvin Kueen Daily Wage),147,Wage,-192,192073.6
1 4th Street Rent,148,Rent,-64.31962,192009.3
Elite Jewels Revenue,147,Revenue,18000,210009.3
48 1st Street Rent,148,Rent,-12.32229,209997
42 3rd Street Rent,148,Rent,-38.02306,209959
30 4th Avenue Rent,148,Rent,-85.7595,209873.2
59 3rd Street Rent,148,Rent,-75.99196,209797.2
1 5th Street Rent,148,Rent,-52.13275,209745.1
Katalytica Revenue,147,Revenue,12000,221745.1
7 3rd Avenue Rent,148,Rent,-42.2027,221702.9
Karvin Kueen Revenue,147,Revenue,2805,224507.9
Marketing campaigns for Elite Jewels,148,Marketing,-500,224007.9
Marketing campaigns for Katalytica,148,Marketing,-500,223507.9
Marketing campaigns for Karvin Kueen,148,Marketing,-500,223007.9
Bank negative interest rate,148,BankNegativeInterestRate,-24530.87,198477
Purchase from Square Appliances,148,ItemPurchase,-1300,197177
Recruitment Campaign,148,RecruitmentCampaign,-1000,196177
Subway Ride,148,SubwayRide,-3,196174
Lace Global A investment,148,Investment,-10000,186174
Subway Ride,148,SubwayRide,-3,186171
Evie Jones (Katalytica Daily Wage),148,Wage,-448,185723
Lily Barton (Katalytica Daily Wage),148,Wage,-344,185379
Zoe Gomez (Elite Jewels Daily Wage),148,Wage,-256,185123
Tommy Brooks (Katalytica Daily Wage),148,Wage,-44,185079
Christian Hall (KaraKata Holdings Daily Wage),148,Wage,-184,184895
Merit Johnson (KaraKata Holdings Daily Wage),148,Wage,-224,184671
Lara Norris (Warehouse #1 Daily Wage),148,Wage,-153.9,184517.1
Grover Brown (KaraKata Holdings Daily Wage),148,Wage,-200,184317.1
Maria Willis (Karvin Kueen Daily Wage),148,Wage,-200,184117.1
Lindsey Richardson (Elite Jewels Daily Wage),148,Wage,-125,183992.1
Olivia Cox (Katalytica Daily Wage),148,Wage,-432,183560.1
Maya Turner (Karvin Kueen Daily Wage),148,Wage,-32,183528.1
Mollie Jenkins (KaraKata Holdings Daily Wage),148,Wage,-224,183304.1
1 4th Street Rent,149,Rent,-64.31962,183239.8
Elite Jewels Revenue,148,Revenue,16000,199239.8
48 1st Street Rent,149,Rent,-12.32229,199227.5
42 3rd Street Rent,149,Rent,-38.02306,199189.5
30 4th Avenue Rent,149,Rent,-85.7595,199103.7
59 3rd Street Rent,149,Rent,-75.99196,199027.7
1 5th Street Rent,149,Rent,-52.13275,198975.6
Katalytica Revenue,148,Revenue,6000,204975.6
